"job_id","job_title","job_snippet","company_name","company_location","job_salary","company_rating","company_no_reviews"
"1d31e01777b2e463","Data analyst, Intern","Demonstrated ability and interest in data analytics.
 Learn to acquire data from Cloud sources.
 Upgrade a recurring report by automating the data processes.
","Prologis","Amsterdam","Voltijds","3.9","101"
"9222583fa76d2622","Business Analyst","Front End Analytics: data visualisation, data storytelling and mobile app development.
 Business processes: data modelling and business analysis.
","Valcon","Postcode 3541 in Utrecht",NA,NA,NA
"d36d1d2aba8f6229","Business analist Inkoop, Logistiek en Financiën","Als Business analist bij het Martini Ziekenbuis ben je gericht op resultaat.
 Je verzamelt en analyseert daarvoor relevante data en vertaalt deze actief naar…
","Martini Ziekenhuis","Groningen","€3.389 - €4.964 per maand -  Contract bepaalde tijd","4.3","13"
"a10093d1d56429df","Data Scientist (14761) - North America (Remote)","Partnering with product, data scientists, data analysts, and data engineers, you will help define success and our test and learn strategy both in the realm of…
","Getty Images","Tijdelijk thuiswerken in America","Voltijds",NA,NA
"5c4d91f0fc68f67c","Junior Azure Developer","The Enterprise Data Lake consists of several teams.
 As a Junior Azure Developer you will work in one of two scrums team focusing on the automation of Enterprise…
","Rabobank","Postcode 3521 in Utrecht","€3.100 - €3.300 per maand -  Voltijds","4","1343"
"4aa21b7c5037cb2d","Business Analyst, Netherlands","Undertaking regular data analysis across the commercial databases and reinforcing a data-driven approach to decision making across the organization.
","Alexion Pharmaceuticals,Inc.","Den Haag",NA,NA,NA
"28d432b12364f317","Sponsorship Sales Executive","Work with the data analyst to develop and implement tools that enable us to provide data driven solutions to our clients.
","ELEVEN (Amsterdam)","Postcode 1033 in Amsterdam Noord","Voltijds",NA,NA
"aed277c323002b60","Physics Analyst","Analysis of the experimental data.
 Experience with analysis of experimental data and understanding of related challenges.
 PhD in Physics or equivalent.
","SiTime Corporation","Postcode 2612 in Delft",NA,NA,NA
"a434de74fecec7ce","nieuwMarketing Insights Analyst","Je hebt veel affiniteit met data en bent cijfermatig en analytisch sterk ontwikkeld.
 Ontsluiten van de juiste data uit interne en externe bronnen en deze – door…
","RTL Nederland","Hilversum","Voltijds",NA,NA
"2246c17d8d82000a","Business Analist","Als business analist ben je een drijvende kracht voor de coöperatie.
 Een ideale stap wanneer je met aantal jaren werkervaring als (proces) consultant een stap…
","AVIA Netherlands","Nederland",NA,NA,NA
"fa4c620ff7418ad9","nieuwData science software engineer","Een data profiling check kunnen doen;
 Je bent gewend om te schakelen met data scientists.
 Verwachtingswaarden kunnen berekenen middels data science technieken…
","De Staffing Groep","Arnhem",NA,"3.5","2"
"f2b097fc09489fb6","Head of Data Science & Analytics","Recruit, manage and lead a team of world-class data analysts and data scientists to support our aggressive growth and deliver key data products and capabilities…
","Creative Fabrica","Amsterdam",NA,"3.2","6"
"600e0a673fff3e93","Renewable Data Analyst (Power)","Be comfortable with big, complex data sets, analysis, and application of that data to drive business value.
 Highly analytical, data driven with strong attention…
","Shell","Den Haag","Voltijds",NA,NA
"cffd2b3ce9043c2e","Backend Developer - Remote (Europe) - 12 month Contract","Build analyst-facing solutions interacting with different data sources to support service deliverables.
 Increase actionability of threat intelligence reporting…
","Mandiant","Thuiswerken in Amsterdam","Voltijds",NA,NA
"287edf0e67062fb1","Business Analyst Client Data Quality","Analyze data and data quality issues to find the root causes.
 Broad experience in data management and/or data quality management.
","Rabobank","Postcode 3521 in Utrecht+5 plaatsen","Voltijds","4","1343"
"d5f056bdd9e27ead","ESG Research Analyst, Index Intelligence","Contribute to the designing of quality assurance processes for ESG datasets, data change reporting, annual data vendor reviews.
","S&P Global","Postcode 1077 in Amsterdam Zuid",NA,NA,NA
"5c311b8c2faf89e8","Junior Airport Security Consultant","With your experience and knowledge of security processes and systems in and around airports (or similar environments) you add value to our projects and liaise…
","Royal HaskoningDHV","Thuiswerken in Den Haag",NA,"4","75"
"68c3dde5560e344f","Informatie analist","De Consumentenbond test jaarlijks duizenden producten en diensten.
 Je doet analysewerkzaamheden op basis van aanvragen vanuit de business.
","Consumentenbond","Postcode 2521 in Den Haag+2 plaatsen","€3.220 - €5.294 per maand -  Voltijds","4.3","4"
"cc039ce051bc3d30","Informatie Analist","Op deze manier vergroten zij de data gedreven sturing van de organisatie.
 Deze onderzoeksvragen resulteren in een set van benodigde data-entiteiten, attributen…
","Nippur","Oirschot","€3.500 - €5.500 per maand -  Voltijds, Vaste baan",NA,NA
"2518d8e1389c5e9d","nieuwBusiness Analyst","You are analytical and driven by data rather than gut feeling.
 Therefore, you need to be a state-of-the-art business refiner, preferably with experience in a…
","ING","Amsterdam+2 plaatsen",NA,"3.9","1923"
"b0779c7315d6d63e","Informatie-analist & integratie-specialist","Energie Data Services Nederland (EDSN) werkt samen met alle regionale netbeheerders, TenneT en Gasunie Transport Services (GTS) aan de centrale…
","Energie Data Services Nederland","Utrecht","Deeltijds","3.8","12"
"afe29b775da30b21","IT Business Traineeship","Een mooi startsalaris van €2750, een reiskostenvergoeding en 26 vakantiedagen;
 Je komt regelmatig samen met mede trainees om ervaringen uit te wisselen en van…
","Qompas","Randstad","€2.750 per maand -  Voltijds",NA,NA
"ee929d60cae4a567","Business Analist","Wij zijn op zoek naar een ervaren Business Analist die kan bijdragen aan het verbeteren van onze organisatieprocessen.
","Handelsbanken","Amsterdam-Zuidoost",NA,NA,NA
"5f38995520865adf","Junior Strategy & Business Analyst","Able to analyse and draw meaningful conclusions from data.
 Corporate strategy and management support.
 Versatile work environment (sales, production, product…
","Ubbink","Thuiswerken in Postcode 6984 in Doesburg","Stage","3.5","6"
"44bf514db1fa8569","Senior Data Analyst","3+ years of experience manipulating large data sets, building statistical models, and generating actionable insights from these data & analyses.
","Domino's Pizza Netherlands","Postcode 3433 in Nieuwegein","Voltijds","3.5","29419"
"3b1dc0ac639e3390","nieuwSenior BI-analist","Maximaliseer data-gedreven werken en realiseer daarmee onze digitale ambitie als senior BI-analist bij DNB.
 Zo doe je dat als senior BI-analist bij DNB.
","De Nederlandsche Bank","Amsterdam","€3.940 - €5.600 per maand -  Voltijds","4.2","20"
"bc32f160c41b3fab","Reporting Analyst Commercie","Het team bestaat uit Business Analysts (2), Data Scientists (3) en presentatie- en data managers.
 Als Reporting Analyst land je (welkom aan boord!) in het…
","etos","Zaandam","€4.000 per maand -  Voltijds","3.7","89"
"67d7df078d5958af","Business Analyst Financial Crime Advisory and Investigations","Zo ben je als Business Analyst niet alleen betrokken bij onderzoeken naar vermeende fraude en corruptie, maar ook bij compliance en frauderisico preventie…
","Deloitte","Postcode 1081 in Amsterdam Zuid+2 plaatsen",NA,"4","10502"
"ef51cf6616d54607","Business Analyst - SaaS (Europe)","Knowing the product inside-out and never losing sight of delivering a great user experience;
 Creating spot-on user stories for the engineering team and leading…
","Castor","Tijdelijk thuiswerken","Voltijds",NA,NA
"0ad2f0a4d1c9b18d","Senior Business Analyst - Data & Analytics","Als senior business analyst sta je in de spits van onze projectorganisatie.
 Je hebt aantoonbare kennis van en ervaring met (big) data projecten;
","Incentro International BV","Postcode 3528 in Utrecht","Voltijds",NA,NA
"be7e78a7ea059014","Lead Data Engineer","You will identify & resolve technical, performance and data issues with the DWH together with our data analysts.
","Otrium","Amsterdam",NA,NA,NA
"85a11668c7375c45","Design: Business Analist","Kennis in meerdere gebieden zoals web en mobiele toepassingen, robotisering, blockchain, datawarehouses en-of data management.
","Daarom IT","Postcode 6825 in Arnhem",NA,NA,NA
"4aa613516f9583c4","Data Engineer","Samenwerken met de data scientists en data analysts aan het standaardiseren van data exchange processen;
 Minimaal 3 jaar aantoonbare ervaring als data engineer…
","De Immigratie- en Naturalisatiedienst","Den Haag","Contract bepaalde tijd",NA,NA
"9e358e87a5519392","nieuwData Analytics Techionista Academy","Finding trends in data sets and developing algorithms to help make raw data more useful to the enterprise.
 An interest in data and analytics.
","Avanade","Amsterdam",NA,"3.7","302"
"1c2b14bc539d5116","Senior accountmanager zorgverkoop Dimence Groep","Verder heb je veelvuldig afstemming met andere collega’s zowel binnen als buiten de dienst, zoals de data-analist, contractmanager, afdeling control en…
","Dimence Groep","Deventer","Deeltijds","4.1","11"
"6a20707e54874606","Business analist","Deze data komt uit een van de grootste data lakes van Nederland.
 Je gebruikt de data van zowel de online als offline klantinteracties, aangevuld met data van…
","DPG Media","Postcode 2132 in Hoofddorp","Voltijds","2.8","11"
"4000879fc234ab44","Data Engineer","Collaborate with data research analyst to conduct data analysis for company-specific and industry-wide research.
 Respond to requests for data and analysis.
","Apeiron Insight","Thuiswerken in Rijswijk","Vaste baan",NA,NA
"70c50667036b8f27","Investment Analyst, Diversified Loan Strategy","Previous work experience with quantitative analysis, loan-level data, and/or large data sets is a plus.
 Qualitative analysis on loan markets, direct lending…
","Dynamic Credit","Postcode 1076 in Amsterdam Zuid","Voltijds",NA,NA
"aed9b019296ce1f9","Consultant data analytics","Experience with at least one data analysis tool such as R or Matlab.
 The Data Analyst will be assigned to a variety of projects at our customers.
","IntroMediates","Huizen",NA,NA,NA
"058780ef8e25ee5d","nieuwSAP S/4 Business Analyst","Experience creating process maps and/or data flow diagrams is highly preferred with Igrafx.
 The Technology Lead, Business Analyst – ERP PL will liaise with…
","Johnson & Johnson Family of Companies","Nederland",NA,"4.2","6499"
"5b6221be17f38439","Senior Quantitative Data Analyst (Portfolio Management Retai...","You are an experienced quantitative data analyst, who is capable of applying these skills within Retail Banking of NIBC.
","NIBC","Den Haag","Voltijds",NA,NA
"c2bcd453f7dca0d6","Digital Phenotyping Data Analyst","Automatization of data processing pipelines.
 Phenotyping methods for improving the data collection.
 Processing of raw data into interpretable information.
","Solynta","Wageningen","Voltijds",NA,NA
"b5a50f65248f7e14","Business Analyst","Dit prioriteiten proces ondersteun je op basis van klantinzichten en data.
 Een probleem definiëren met data van verschillende bronnen kun jij als de beste.
","RTL Nederland","Hilversum","Voltijds",NA,NA
